severity_threshold,feature_set,model_variant,cutoff_method,probability_cutoff,split,train_failure_rate,Accuracy,Precision,Recall,F1,ROC_AUC,PR_AUC,AP,TN,FP,FN,TP,actual_failure_rate,predicted_failure_rate,always_normal_accuracy,rows
12,original_features,balanced,fixed_0.5,0.5,Validation,0.12950391644908615,0.599390243902439,0.16810344827586207,0.6,0.26262626262626265,0.6281536687073018,0.18085812605570636,0.18473254778752843,866,579,78,117,0.11890243902439024,0.424390243902439,0.8810975609756098,1640
12,original_features,balanced,validation_F1,0.5,Validation,0.12950391644908615,0.599390243902439,0.16810344827586207,0.6,0.26262626262626265,0.6281536687073018,0.18085812605570636,0.18473254778752843,866,579,78,117,0.11890243902439024,0.424390243902439,0.8810975609756098,1640
12,original_features,balanced,fixed_0.5,0.5,Test,0.12950391644908615,0.5969696969696969,0.17107093184979139,0.640625,0.270032930845225,0.651309585048011,0.17434234355621192,0.17805677046229018,862,596,69,123,0.11636363636363636,0.43575757575757573,0.8836363636363637,1650
12,original_features,balanced,validation_F1,0.5,Test,0.12950391644908615,0.5969696969696969,0.17107093184979139,0.640625,0.270032930845225,0.651309585048011,0.17434234355621192,0.17805677046229018,862,596,69,123,0.11636363636363636,0.43575757575757573,0.8836363636363637,1650
13,original_features,default,fixed_0.5,0.5,Validation,0.08929503916449086,0.9158536585365854,0.0,0.0,0.0,0.6311391574518999,0.1557360399581061,0.15896301640945087,1502,0,138,0,0.08414634146341464,0.0,0.9158536585365854,1640
13,original_features,default,validation_F1,0.11,Validation,0.08929503916449086,0.7030487804878048,0.1279317697228145,0.43478260869565216,0.19769357495881384,0.6311391574518999,0.1557360399581061,0.15896301640945087,1093,409,78,60,0.08414634146341464,0.28597560975609754,0.9158536585365854,1640
13,original_features,default,fixed_0.5,0.5,Test,0.08929503916449086,0.9193939393939394,0.0,0.0,0.0,0.6547598396122144,0.15180833374041658,0.15417513747206954,1517,0,133,0,0.08060606060606061,0.0,0.9193939393939394,1650
13,original_features,default,validation_F1,0.11,Test,0.08929503916449086,0.7187878787878788,0.1394335511982571,0.48120300751879697,0.21621621621621623,0.6547598396122144,0.15180833374041658,0.15417513747206954,1122,395,69,64,0.08060606060606061,0.2781818181818182,0.9193939393939394,1650
13,original_features,balanced,fixed_0.5,0.5,Validation,0.08929503916449086,0.6103658536585366,0.12330827067669173,0.5942028985507246,0.20423412204234123,0.6407784789362976,0.15222855855225448,0.15710910801253508,919,583,56,82,0.08414634146341464,0.4054878048780488,0.9158536585365854,1640
13,original_features,balanced,validation_F1,0.51,Validation,0.08929503916449086,0.6274390243902439,0.12755905511811025,0.5869565217391305,0.2095730918499353,0.6407784789362976,0.15222855855225448,0.15710910801253508,948,554,57,81,0.08414634146341464,0.3871951219512195,0.9158536585365854,1640
